# Z Eq Er Es Et Ew Ex Ey Ez
6 299.9697 299.9576 303.4173 303.4187 307.9020 304.4200 304.4030 298.9620
7 421.2843 421.2592 425.3321 425.3310 430.6960 426.3280 426.2920 419.7920
8 563.0794 563.0640 567.7211 567.7193 573.9610 568.7080 568.6400 561.0720
10 908.1931 908.0680 914.0173 913.9870 922.0010 914.9960 914.8030 905.0620
12 1335.5329 1335.2530 1342.5345 1342.4460 1352.2480 1343.5420 1343.0990 1331.1120
14 1845.3861 1844.8360 1853.5743 1853.3740 1865.0016 1854.6680 1853.7806 1839.4496
16 2438.1085 2437.1179 2447.5104 2447.1227 2460.6290 2448.7630 2447.1440 2430.3510
18 3114.1430 3112.4680 3124.8050 3124.1340 3139.5820 3126.2898 3123.5350 3104.1485
20 3873.9460 3871.2410 3885.9460 3884.8780 3902.3780 3887.7610 3883.3170 3861.2060
24 5647.2797 5640.9070 5662.3670 5660.1370 5682.0690 5665.0720 5654.8495 5626.9280
25 6143.9680 6136.2040 6159.9390 6157.3430 6180.4570 6162.9040 6150.5780 6121.1430
26 6662.1882 6652.7880 6679.1001 6676.1070 6700.4340 6682.3330 6667.5780 6636.6120
28 7763.6710 7750.1240 7782.6330 7778.7650 7805.6050 7786.4240 7765.7043 7731.6304
